SR.NO,ITEMS,QUANTITY,UNIT PRICE,TOTAL PRICE,URL
1,PCB (From JLCPCB),5 (Minimun),$5 (Including Shipping),$25,In my Cart.
2,Seeed XIAO nRF52840,2 (One for each side),$12.50 (Including Shipping),$25,XIAO nRF52840 Board – Bluetooth 5.0 for IoT & Wearables – Robocraze
3,Gateron LP 2.0 Switches,70,$0.185 (Including Shipping),$13,Gateron Low Profile 2.0 Mechanical Switch - 3pin : Meckeys.com : Key Switches
4,Blank DSA Keycaps 1U,70,$0.207 (Including Shipping),$14.5,Blank DSA Keycaps (1u) : Meckeys.com : Blank
5,3.7V LiPo Batteries,2 (One for each side),$1.615 (Including Shipping),$3.23,Buy 3.7V 1000mAh Li-Po Rechargeable Battery Online at Best Price – QuartzComponents
6,1N4148WS T4 Switching Diode,70,$0.025 (Including Shipping),$1.78,1N4148WS T4 Switching Diode - SOD-123 SMD Package – QuartzComponents
7,3D Prints,4 Files,Printing Legion,$5 - $7 (Shipping),#print-legion-india On Slack
8,Glue & Decals bought locally.,Not Fix,Paid By Me,$0,I wish the local shop had a website to check available stuff on!
Total:,8+,215+,-,$90  +/-  $5 - $10,
